Factors,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL
1-Monopalmitin,2578.8567,3755.2392,2278.0236,2998.4553,3504.3485,2666.6899,3358.6860,3322.0541,3388.3844,1890.6318,2185.4338,3495.0582,2304.5246,3067.8830,3362.6824,3724.6746,3552.9281,3444.6467,3013.7722,2735.4511,2543.6130,3720.7373,2014.7593,3078.0861,2817.7640,3124.1236,2236.8529,2181.4847,2482.5490,3529.1917,2176.6046,3302.3141,2194.3159,2954.0196,3799.5279,1925.6502,2512.2610,2714.3942,1461.0714,2568.0230,2793.7565,4328.4822,3041.5235,2622.6544,2893.7585,2758.4755,2672.3947,4575.0354,3433.2708,2697.4799,3395.2174,2891.6087,3395.0743,2952.6489,2879.5960,1486.7288,2797.8125,4795.1554,3126.1579,2578.9188,2845.7900,3128.1957,3375.9721,2122.6710,4061.5188,2010.6345,2357.4020,4462.0410,4017.3924,3121.9511,2573.7777,3319.6044,2127.1812,3632.9254,2632.3587
2-Aminobutanoic acid,10445.1691,7585.7903,11715.8539,11010.1264,5707.5960,15017.3954,10785.4974,6561.2374,5803.3293,14262.2941,11601.7847,22713.3295,22679.4156,13650.7681,7185.8800,19519.6139,24664.1240,15564.5979,9396.1036,26434.5801,29568.4465,21672.4291,20560.6168,7321.4524,28060.1158,19745.3460,29461.8628,82096.5978,36430.7763,21294.2434,55015.4686,39272.3293,21539.4226,36620.0809,8983.4060,11862.0908,7277.6241,13618.2885,12088.0240,8231.3748,21642.7808,13130.1484,8786.0931,13918.7980,9570.7759,11743.0733,17466.8848,17945.8415,7847.3249,13888.4303,12650.2856,23382.6211,38865.7439,28247.3381,23440.5182,31822.4247,16263.2853,36310.4475,21514.8143,17927.4078,18964.0040,34107.7595,22869.7498,58464.1990,22891.7322,22173.1451,31070.3819,30939.7688,19821.1234,46682.2382,20738.5327,19072.1963,14190.9337,27899.7725,14848.7982
2-Hydroxy-3-methylbutyric acid,7764.2659,7883.8590,7065.2155,8115.1673,17656.7614,4975.5559,7509.3979,12256.4677,4613.6434,7053.1346,7558.2172,3342.3294,8703.6812,7004.9939,7073.9589,12149.0194,8506.3638,6101.3882,6383.4542,10930.3032,14960.7459,19366.0737,10431.8609,10432.3268,28238.4048,8372.9981,7281.9873,13739.8816,6620.2968,13837.5759,13383.1484,12574.4728,8612.7432,13133.3272,13882.4450,4380.3858,4305.6036,7109.4927,3437.3461,6440.8067,11876.8343,11046.5583,6165.4441,7965.4490,6910.1722,3374.4179,32414.6116,17994.8836,20332.8768,4937.7844,6079.0708,10711.1600,26856.3751,22727.5246,4131.3793,8635.0487,47848.7864,21198.4142,17416.6934,23412.7435,45888.1975,25447.2550,7388.9019,10618.0251,16868.0132,5070.4136,17781.0902,17536.4785,8261.5329,17727.6837,5009.5592,24435.2623,4852.3001,10835.0902,5050.9621
2-hydroxybutyric acid,26061.1458,20031.0890,48110.0425,14943.7730,30238.6779,25408.9488,20764.5588,19729.1182,11919.3568,23110.8899,29826.4413,50104.3573,31350.8715,37945.4296,26181.5208,63079.3449,30881.1190,31263.1875,22160.2102,33296.4795,52451.9043,44885.1324,25043.5192,22400.5384,53430.9978,34142.7196,64401.8939,86115.3022,33361.7312,44104.0316,63158.9116,58565.1346,44085.9842,34209.1896,39693.3765,18699.9040,22247.2687,24701.3666,16412.4901,22275.9524,30912.5781,33572.9583,20246.7392,29176.0517,28522.8883,18767.7477,40114.0784,57539.7906,16033.8018,25271.7683,29671.2208,39221.1700,108606.7676,43048.7936,46510.4731,39197.2331,34988.9493,39553.0437,59111.6132,37563.2529,23269.6326,84935.2093,44161.6061,100780.1338,47425.9284,30277.8780,46988.3223,53859.6855,36735.6396,69815.9689,26186.9459,65543.6895,25074.9130,46688.3685,21508.5647
2-ketoisocaproic acid,4657.2319,4305.3076,8356.1307,5821.3724,7987.1488,5886.8992,4985.0940,7649.8937,4969.3818,4408.1989,8226.5548,7524.1273,7590.6481,8830.5487,4594.0869,12592.5211,7230.5581,9058.9098,4858.3833,10716.5930,8159.6112,11820.7977,9351.0623,5091.4332,13716.3255,11432.5051,9703.0577,15378.8046,11852.7034,10036.2264,12032.9591,11365.1288,14163.1434,14300.6381,14885.5093,6108.7869,4541.3060,6002.3047,4375.2666,7235.8613,8825.2006,8687.2082,6994.2908,7111.4977,4019.3981,5698.3110,10223.5093,9527.2503,7678.4879,8336.6692,6867.4053,6828.5116,17791.8211,8701.0213,7055.5775,13335.4051,7451.0529,13446.7314,13218.8387,11685.4698,13158.6328,13472.7823,10718.4851,14230.4126,11442.0376,7560.6042,10690.3047,14594.0855,8509.6508,12207.7703,5934.8897,12615.5868,6216.9731,11206.6357,5356.7202
3-Hydroxybutyric acid,5832.4860,6421.6459,7555.3954,8419.2775,35226.6580,16379.7842,16963.7303,4223.7464,5978.2135,12797.5409,7530.5051,30240.2000,12286.5429,15996.4271,11442.8019,18232.5914,17559.1611,7191.5392,13874.8229,10419.4112,12483.8754,14545.1149,14918.6340,7038.5367,9995.5408,11758.2693,18873.0361,14137.2642,10494.6159,15615.9757,9137.5926,12525.4486,16961.5429,17182.6974,18643.2436,4891.0882,6274.9839,12546.4578,4267.1371,8431.7057,8649.8776,5823.0820,12722.3103,6209.4640,10909.2180,6163.2336,8698.7862,23359.5570,10023.6285,20118.4433,8566.8224,148691.3694,25786.5049,50817.7668,75065.5013,12426.4324,59389.1700,82689.2170,8434.8606,16548.2059,12634.4179,40647.8075,17274.0026,68546.8706,21073.7116,58618.7432,48585.4891,9980.2637,52518.8468,38706.8782,7955.6441,13015.7485,10793.5116,11162.7855,9139.4210
3-methyl-2-oxobutanoic acid,6377.7517,6619.9766,10479.4900,8600.9907,8545.2570,8952.0181,7570.5599,9154.8954,7808.5007,8271.2534,10753.2955,9290.2389,12108.0639,10924.1594,9065.9715,11280.0590,6955.8817,10869.5367,8364.2591,14677.0548,11279.6251,10586.5338,12100.1932,7454.8245,13209.4963,11111.2278,12618.4619,13696.8501,12520.3474,8987.8182,11934.3646,13090.2279,16694.6842,13636.9603,10436.5636,8627.9980,8495.1210,10104.2741,7101.2373,8228.1898,12421.0718,10852.5350,7211.8789,9938.7073,7331.8998,7018.9560,11579.5515,10308.3424,10543.6540,10321.0583,9379.2545,9302.4351,15843.7012,10719.2622,9615.9100,13127.4740,8370.9796,13065.8861,10589.5005,15384.4015,10144.7833,11897.3159,14404.8828,13319.8480,11356.2600,10720.1184,12288.1274,13192.5206,13630.5486,13187.7288,9392.1159,12484.9705,7218.7523,13709.7460,9430.2058
4-Aminobutanoic acid,3093.9513,4131.5061,4223.5895,3884.3859,6462.1792,3069.8112,3632.8088,5217.1060,3323.1636,3892.9244,5296.2446,3748.9850,3298.6790,2836.1889,4720.4693,2913.0940,3280.2175,4671.2335,4114.0605,3776.4527,3168.5014,6303.0882,3582.9320,3578.8786,5683.9629,4355.6107,2866.3011,4592.5029,4057.2507,3405.8806,4066.3777,3419.9839,5120.0720,4301.5038,8937.4851,4262.3340,4008.7844,3351.8571,3659.3144,3689.3471,4622.8396,7194.3768,212.3866,4066.5271,5102.3253,3327.1186,4037.9802,3398.7163,3937.5012,3066.2071,3289.8978,3029.7910,3994.7438,4464.2545,3017.8503,3502.5610,5441.6815,3490.2985,3174.5238,4492.4379,2954.3470,3652.4383,3723.5117,3846.9487,3688.0367,4955.1192,3610.2330,4591.9708,5520.5568,4806.9481,3896.4344,4912.1058,2867.7645,5318.3925,4687.9777
Acetoacetate,6502.7998,7181.3059,10763.6013,8811.6799,8621.0606,8602.0106,7746.6121,8791.3254,7715.9212,7164.6185,10554.7769,9851.3471,11950.7425,11013.1879,9489.5340,11733.9999,6406.9865,11429.4611,8584.3284,13317.6826,11248.6652,9939.5175,12467.1529,7421.8172,12790.6434,11008.7029,12961.9978,13684.0906,12205.1825,8888.5780,11929.8522,12630.5964,15208.6693,13717.2799,11051.4062,8605.5300,8699.9568,10189.3078,6729.2089,8081.4605,11624.3399,11104.5246,7364.6234,9992.6448,7295.8369,7497.4176,11698.7457,10112.2554,10986.5093,10212.0767,9545.0829,9654.7257,14711.2682,10823.4525,9618.6397,12110.7355,8488.6091,13592.7919,9990.7080,15847.8523,9658.3250,11967.3818,14340.5578,12584.0971,11694.2173,10744.0085,11418.4176,13049.7247,13139.6012,13178.7690,9149.6909,12809.3016,6814.7705,13781.9286,9488.7058
Alanine,144239.0851,107139.5539,252040.2180,318874.8614,108323.0822,73367.5837,73989.1182,158293.5601,87035.2221,121908.2183,169122.7726,192942.7685,182586.7227,220942.2688,101837.8982,213028.3695,119602.5669,232888.3614,60729.8124,249770.3885,260697.7582,246195.8398,329672.5683,98848.6459,130464.9735,131135.8240,206614.5609,920585.9158,306255.7174,145816.6349,750043.4100,549568.6009,580358.9401,245209.9430,219493.4930,214492.6215,90023.4555,165080.7118,157421.0258,146001.1920,219333.6060,185149.3190,111178.0531,204770.6332,82415.7108,104374.4809,304610.2980,231986.4030,141209.2652,171232.7718,220211.7910,153918.0215,413179.3131,184809.6205,125116.9569,383374.4213,123759.0306,379561.9508,314701.9647,496716.6413,126694.2182,361916.1005,260843.7948,352861.8219,156421.7355,209363.0032,161535.7366,286767.9267,134548.2751,593045.7645,154614.5039,260532.6094,101485.6231,324687.1127,148974.2307
